name,type,class,tea,num,time,site
散打选修,艺术类,2,杨辉,44,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (舞蹈3室(实B209))(舞蹈3室(实B209))
散打选修,艺术类,3,杨辉,44,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (舞蹈3室(实B209))(舞蹈3室(实B209))
散打选修,艺术类,4,杨辉,44,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (舞蹈3室(实B209))(舞蹈3室(实B209))
交通安全与对策,理科类,1,张文杰,165,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼103)(主楼103)
交通安全与对策,理科类,2,张文杰,165,"17-18周,星期1, 7-9节 2-16周,星期1, 7-8节 ", (主楼103)(主楼103)
交通安全与对策,理科类,3,张文杰,165,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼103)(主楼103)
交通安全与对策,理科类,4,张文杰,165,"17-18周,星期4, 7-9节 2-16周,星期4, 7-8节 ", (主楼103)(主楼103)
健美,艺术类,1,赵国炎,44,"17-18周,星期1, 7-9节 2-16周,星期1, 7-8节 ", (健身室1室)(健身室1室)
健美,艺术类,2,赵国炎,44,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (健身室1室)(健身室1室)
健美,艺术类,3,赵国炎,44,"17-18周,星期4, 7-9节 2-16周,星期4, 7-8节 ", (健身室1室)(健身室1室)
诸子百家思想与现代商战,文科类,1,杨海涛,160,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼317)(主楼317)
诸子百家思想与现代商战,文科类,2,杨海涛,160,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼112)(主楼112)
广告赏析,艺术类,1,李海燕,160,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼302)(主楼302)
办公室事务管理,其他类,1,范晓定,180,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (阶梯B410室)(阶梯B410室)
办公室事务管理,其他类,2,范晓定,180,"17-18周,星期1, 7-9节 2-16周,星期1, 7-8节 ", (阶梯B510室)(阶梯B510室)
办公室事务管理,其他类,3,范晓定,180,"17-18周,星期4, 7-9节 2-16周,星期4, 7-8节 ", (阶梯B510室)(阶梯B510室)
北方饮食与风俗文化,其他类,1,朱廷越,180,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (阶梯B511室)(阶梯B511室)
北方饮食与风俗文化,其他类,2,朱廷越,180,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (阶梯B511室)(阶梯B511室)
中国饮品文化,其他类,1,杨鹤,160,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼216)(主楼216)
中国饮品文化,其他类,2,杨鹤,160,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (主楼202)(主楼202)
中国饮品文化,其他类,3,杨鹤,160,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (主楼202)(主楼202)
基础日语,文科类,1,黄菲,160,"17-18周,星期5, 7-9节 2-16周,星期5, 7-8节 ", (主楼216)(主楼216)
基础日语,文科类,2,黄菲,160,"17-18周,星期1, 7-9节 2-16周,星期1, 7-8节 ", (主楼316)(主楼316)
PhotoShop图像处理与制作,理科类,1,梁慧文,50,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (电脑7室(实A504))(电脑7室(实A504))
PhotoShop图像处理与制作,理科类,2,梁慧文,50,"17-18周,星期4, 10-12节 2-16周,星期4, 10-11节 ", (电脑7室(实A504))(电脑7室(实A504))
化学与生活,理科类,1,黎佩琼,160,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼217)(主楼217)
化学与生活,理科类,2,伍建国,160,"17-18周,星期4, 7-9节 2-16周,星期4, 7-8节 ", (主楼202)(主楼202)
文学与人生,文科类,1,蒲晓彬,180,"17-18周,星期1, 7-9节 2-16周,星期1, 7-8节 ", (阶梯B410室)(阶梯B410室)
文学与人生,文科类,2,蒲晓彬,180,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (阶梯B411室)(阶梯B411室)
文学与人生,文科类,3,蒲晓彬,180,"17-18周,星期4, 7-9节 2-16周,星期4, 7-8节 ", (阶梯B411室)(阶梯B411室)
时尚休闲与健康,其他类,1,王平.,160,"17-18周,星期2, 7-9节 2-16周,星期2, 7-8节 ", (主楼201)(主楼201)
时尚休闲与健康,其他类,2,王平.,160,"17-18周,星期2, 10-12节 2-16周,星期2, 10-11节 ", (主楼201)(主楼201)
法律与生活,文科类,1,刘伟斌,160,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (主楼203)(主楼203)
电子商务与网购,理科类,1,郑华昌,50,"2-13周,星期1, 10-12节 ", (电脑4室(实A404))
电子商务与网购,理科类,2,郑华昌,50,"2-13周,星期2, 10-12节 ", (电脑4室(实A404))
化学与健康,理科类,1,黎佩琼,160,"17-18周,星期3, 10-12节 2-16周,星期3, 10-11节 ", (主楼217)(主楼217)
化学与健康,理科类,2,钟桂云,160,"17-18周,星期1, 10-12节 2-16周,星期1, 10-11节 ", (主楼201)(主楼201)
化学与健康,理科类,3,邓红,160,"17-18周,星期5, 7-9节 2-16周,星期5, 7-8节 ", (主楼203)(主楼203)
